Date,Sentiment_score
2019-01-13,0.5994991291013321
2019-09-18,0.09611581527386973
2019-08-13,0.04779403029575947
2019-05-03,0.5095471054119116
2019-07-06,0.07766894763727805
2018-10-16,0.05073520654860886
2018-10-30,0.45068697847864314
2019-05-11,0.05380952110863291
2019-03-10,0.2519417266240794
2019-10-25,0.7256082230096581
2019-10-05,0.27350483025475114
2019-08-21,0.0289367946079404
2018-10-10,0.010097027377014456
2018-12-21,0.5189699700228761
2019-01-12,0.4914704297359156
2019-12-01,0.12874372099895703
2019-12-21,0.4223159149347598
2019-03-25,0.25005439263441076
2019-01-31,0.008812354022666113
2019-10-10,0.5161810413364102
2019-05-24,0.005446468435768653
2018-12-29,0.8570669876219311
2019-05-10,0.13499112238287125
2019-07-21,0.6372273076732106
2019-07-01,0.15780234212944455
2019-06-19,0.15083693455972025
2018-12-09,0.4957837769983387
2019-08-09,0.08918828518750388
2018-11-28,0.23043746914527233
2019-10-22,0.10869262212611867
2019-01-26,0.34556792392404945
2019-07-13,0.04213880216616417
2018-10-03,0.2559197379850957
2018-12-06,0.04981403705120448
2019-05-16,0.3221316860715433
2019-02-08,0.2695892200049457
2018-12-26,0.5456819016334293
2019-08-26,0.6958038486242978
2019-08-31,0.0891620206823518
2019-06-18,0.03499023053008412
2019-10-02,0.2986287113404842
2019-11-07,0.6200803647902831
2018-10-23,0.06216440693219738
2019-03-04,0.2563777118762022
2019-05-05,0.04129274152421186
2018-12-15,0.3251780447338104
2019-08-15,0.07788785904875517
2019-07-31,0.015140234426780808
2019-05-25,0.5578644332847489
2019-07-14,0.12048778950935457
2018-10-04,0.1282076745368954
2019-01-15,0.16387323892467975
2019-12-20,0.14455188200258817
2019-03-02,0.2914125074446013
2019-02-07,0.007094084739111976
2019-12-06,0.029787364132476034
2018-11-27,0.013306188989914786
2019-11-28,0.119348394494204
2018-10-02,0.028203874051314415
2018-11-07,0.47678907551125027
2019-11-08,0.1195644706027557
2019-07-12,0.427037465898195
2019-02-27,0.09747979695066533
2019-01-24,0.2589021608475832
2019-12-11,0.10666353775320658
2019-03-15,0.45715382507012126
2019-10-09,0.14127379025921982
2019-08-04,0.5273744910682581
2018-12-24,0.07283896686521985
2019-10-29,0.5730341397205918
2019-01-04,0.07028149965844932
2019-10-26,0.15894379328288707
2019-01-22,0.1578545306946353
2018-12-22,0.17962120360016343
2019-09-27,0.0666906812496677
2019-12-03,0.025089317887591278
2019-01-02,0.41986636290130264
2019-10-06,0.2727912327824742
2018-10-09,0.1024305944824846
2018-12-11,0.06428173685162619
2018-10-20,0.12650328849308462
2019-07-30,0.10842785541308331
2019-05-21,0.04515860899209656
2019-07-10,0.03599580389397354
2018-10-29,0.011665387052583288
2018-12-23,0.009397851616085973
2019-09-08,0.08979870464168016
2018-10-31,0.5236130278515047
2019-04-18,0.49729195961435835
2019-03-06,0.012610600100515512
2019-08-23,0.4151607075826432
2018-10-26,0.02405286073983253
2018-10-06,0.006860237159742155
2019-05-13,0.11824522927834977
2019-09-28,0.5169187025292103
2019-08-03,0.4327632736324176
2019-12-22,0.23095298622348884
2019-06-27,0.12755718959942897
2019-10-13,0.44657441835417444
2019-03-12,0.2605092668367036
2019-02-17,0.4341324643718295
2019-06-07,0.7457504980297927
2019-11-18,0.0654210594166363
2019-07-24,0.34012993065289265
2019-08-05,0.051042165277156396
2019-03-14,0.018679211385801864
2019-12-10,0.4234581086698199
2019-10-21,0.05094740331742287
2019-01-25,0.14542767474790708
2019-01-05,0.06148124091510124
2019-11-19,0.5354150971055086
2019-10-01,0.3821548028564123
2019-07-04,0.8468543769041055
2018-12-25,0.06487559727052528
2019-05-06,0.17473269922463536
2019-02-18,0.6374599458318313
2018-12-16,0.029919589775950765
2019-07-03,0.3880963454216726
2019-06-28,0.26921439434954664
2019-07-23,0.36127812297252815
2018-11-18,0.01539396866428433
2019-11-17,0.0662931053104785
2019-01-16,0.46041052153577766
2019-05-26,0.04266876695697373
2019-08-10,0.03554811602418795
2018-12-10,0.041608762969744056
2019-02-19,0.6001303704724705
2019-05-29,0.015451261442040466
2019-03-21,0.21478513772846575
2019-01-10,0.05057084805655913
2019-08-30,0.003486088121854661
2019-07-11,0.3553786044330991
2019-05-20,0.006784516852349043
2018-12-30,0.01791838252948353
2019-10-28,0.16177891529696353
2018-10-27,0.5048440275299361
2018-11-22,0.06404920784871138
2019-06-30,0.5057018163462702
2019-03-27,0.016420598747558593
2019-07-17,0.011960529249336105
2019-10-08,0.09766625199677037
2018-10-07,0.16347011263543965
2019-11-23,0.312667952619586
2019-04-05,0.03122825882746838
2019-02-24,0.584317378858259
2019-11-11,0.11391136261810991
2019-06-14,0.6323725438454293
2018-11-03,0.01868692539346739
2019-06-13,0.24478210552365454
2018-11-23,0.06595888090942026
2019-07-18,0.04762356898891085
2019-02-03,0.2074922551612417
2019-03-28,0.618405205875888
2019-04-10,0.08249968348991388
2019-02-11,0.11571915482907427
2019-09-29,0.5238846302855791
2019-11-04,0.23139234990577506
2019-07-19,0.10063616497109251
2019-06-01,0.1303066635971212
2019-12-19,0.015686862222769313
2019-02-05,0.4813176700322598
2019-04-04,0.7110811334566733
2019-09-14,0.1916801272864177
2019-11-10,0.17219521980172767
2019-02-25,0.42617582596566417
2019-12-18,0.32212605191350957
2018-12-17,0.07038726761311409
2019-04-02,0.023266504851562786
2019-05-27,0.09124641966474359
2019-01-17,0.072010527765201
2019-11-16,0.7038011398908566
2019-11-25,0.5536019884339112
2019-06-09,0.10357692016168585
2018-12-19,0.2528218877284871
2019-09-21,0.4089684983307649
2019-02-28,0.39812070369396224
2019-08-18,0.053341281328584955
2019-05-08,0.01615317069035882
2018-12-18,0.2536693190888989
2019-12-17,0.27261419843473644
2019-06-26,0.41329739951510264
2018-11-16,0.3750901009939298
2019-04-03,0.036042154870720995
2019-04-29,0.6376641369904519
2019-03-19,0.7527658055364554
2019-02-01,0.8016216450392487
2019-09-10,0.36856154756470505
2019-04-20,0.8095120027569063
2019-06-11,0.46480370715240255
2019-11-14,0.02866826410900103
2019-03-18,0.21532344691570415
2019-04-26,0.14109330907558615
2019-02-13,0.11452288074724493
2019-07-08,0.2672837293274681
2019-10-17,0.14377754069380444
2018-10-18,0.8104822869911459
2019-06-23,0.02995385598842404
2019-02-14,0.003264238023357721
2019-06-04,0.14363501414606028
2018-11-14,0.3875948546307536
2019-10-19,0.015815989180282486
2019-03-17,0.14011202475901685
2019-11-13,0.5510740601216909
2019-07-27,0.02125258142336861
2018-11-12,0.0776240007553497
2018-10-17,0.05032431325344078
2019-10-18,0.004790626178419188
2019-07-07,0.34527869128694627
2019-12-07,0.050805129347077725
2019-02-06,0.5184688295992714
2018-12-28,0.14149774060115305
2019-08-28,0.12743629944007429
2018-11-09,0.06636578308098251
2019-02-20,0.38103050055710075
2019-02-09,0.3810270923581811
2019-06-10,0.25571616033721367
2019-09-02,0.13854085717548514
2019-05-17,0.5275217937199841
2019-12-08,0.19971226972908238
2019-01-27,0.27993673943725
2019-11-26,0.136710074809905
2019-04-30,0.6896041864104063
2019-09-30,0.3393023541654756
2019-06-25,0.3014485761324295
2019-04-14,0.1484626681448714
2019-11-20,0.007606505781436748
2019-11-30,0.23933059147020685
2018-11-15,0.2001422992705996
